"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"box(-)","","1","£ 0.25","£ 0.00","£ 0.25","£ 0.00","£ 0.25","0 %"
"53.Dwaeji galbi ribs(default)","RESTAURANT Grill BBQ 52-60","1","£ 12.29","£ 0.00","£ 12.90","£ 0.00","£ 12.90","0 %"
"54.beef Bulgogi(Standard)","RESTAURANT Grill BBQ 52-60","2","£ 24.57","£ 0.00","£ 25.80","£ 0.00","£ 25.80","0 %"
"55.Pork Bulgogi(default)","RESTAURANT Grill BBQ 52-60","1","£ 11.33","£ 0.00","£ 11.90","£ 0.00","£ 11.90","0 %"
"56.Chicken Bulgogi(default)","RESTAURANT Grill BBQ 52-60","1","£ 11.33","£ 0.00","£ 11.90","£ 0.00","£ 11.90","0 %"
"Becks Blue(Standard)","Bottled Beer & Cider","2","£ 7.24","£ 0.00","£ 7.60","£ 0.00","£ 7.60","0 %"
"Koppaberg(Standard)","Bottled Beer & Cider","2","£ 8.00","£ 0.00","£ 8.40","£ 0.00","£ 8.40","0 %"
"Tsing Tao(Standard)","Bottled Beer & Cider","1","£ 4.29","£ 0.00","£ 4.50","£ 0.00","£ 4.50","0 %"
"35.Chicken Teriyaki bun(Standard)","Buns 33-38","6","£ 48.57","£ 0.00","£ 51.00","£ 0.00","£ 51.00","0 %"
"Asia Daisy(Standard)","Asian Cocktails","2","£ 15.24","£ 0.00","£ 16.00","£ 0.00","£ 16.00","0 %"
"Japanese Slipper(Standard)","Asian Cocktails","1","£ 7.62","£ 0.00","£ 8.00","£ 0.00","£ 8.00","0 %"
"Mojito(Standard)","Asian Cocktails","1","£ 7.62","£ 0.00","£ 8.00","£ 0.00","£ 8.00","0 %"
"Ice Cream(default)","Dessert","4","£ 11.43","£ 0.00","£ 12.00","£ 0.00","£ 12.00","0 %"
"25.Chicken Katsu Curry(Standard)","Japan rice dis 25-32","11","£ 145.62","£ 0.00","£ 152.90","£ 0.00","£ 152.90","0 %"
"26. Prawn Katsu Curry(Standard)","Japan rice dis 25-32","3","£ 45.43","£ 0.00","£ 47.70","£ 0.00","£ 47.70","0 %"
"27.Beef Curry(Standard)","Japan rice dis 25-32","1","£ 12.77","£ 1.49","£ 13.41","£ 0.00","£ 13.41","0 %"
"28.Chicken Teriyaki(Standard)","Japan rice dis 25-32","3","£ 39.71","£ 0.00","£ 41.70","£ 0.00","£ 41.70","0 %"
"30. Grilled Unagi rice(default)","Japan rice dis 25-32","1","£ 15.14","£ 0.00","£ 15.90","£ 0.00","£ 15.90","0 %"
"Asahi(Pint)","Draught Beer","33","£ 162.44","£ 1.04","£ 170.56","£ 0.00","£ 170.56","0 %"
"Camden Pale Ale(Pint)","Draught Beer","1","£ 4.67","£ 0.00","£ 4.90","£ 0.00","£ 4.90","0 %"
"Peroni(Pint)","Draught Beer","3","£ 14.36","£ 0.52","£ 15.08","£ 0.00","£ 15.08","0 %"
"Stella(Pint)","Draught Beer","3","£ 12.00","£ 0.00","£ 12.60","£ 0.00","£ 12.60","0 %"
